"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-01","8.50","0.00",,"81","65","    1",,,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-02","6.49","0.00",,"79","52","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-03","3.80","0.00",,"80","44",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-04","5.37","0.00",,"76","50","    1","    1",,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-05","11.41","0.00",,"69","49",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-06","8.28","0.00",,"63","37",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-07","6.71","0.00",,"73","33",,,,,,,,"    1",,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-08","9.62","0.00",,"76","56",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-09","7.83","0.00",,"79","58","    1",,,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-10","8.50","0.17",,"66","39","    1",,"    1",,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-11","5.37","0.00",,"68","33","    1",,,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-12","7.16","0.00",,"74","51","    1",,"    1",,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-13","13.87","0.00",,"68","48",,,,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-14","3.80","0.00",,"66","38",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-15","7.61","0.00",,"72","47",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-16","6.26","0.35",,"70","53","    1",,"    1",,,,,,,,"    1","    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-17","13.87","0.14",,"57","38","    1",,,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-01-18","9.17","0.00",,"72","37",,,,,,,,,,,,,,,,,,
